region,Sex,age,variable,value
Global,Women,85plus,BMI < 18.5 kg/m²,0.13238215843472
South-East Asia,Men,15-19,BMI < 18.5 kg/m²,0.425412039594844
South-East Asia,Men,20-24,BMI < 18.5 kg/m²,0.22451627183243
South-East Asia,Men,25-29,BMI < 18.5 kg/m²,0.148438306849838
South-East Asia,Men,30-34,BMI < 18.5 kg/m²,0.111859954537465
South-East Asia,Men,35-39,BMI < 18.5 kg/m²,0.0963200271043093
South-East Asia,Men,40-44,BMI < 18.5 kg/m²,0.0927882994844739
South-East Asia,Men,45-49,BMI < 18.5 kg/m²,0.0963458236489459
South-East Asia,Men,50-54,BMI < 18.5 kg/m²,0.105163081255345
South-East Asia,Men,55-59,BMI < 18.5 kg/m²,0.117914596307178
South-East Asia,Men,60-64,BMI < 18.5 kg/m²,0.136011454921708
South-East Asia,Men,65-69,BMI < 18.5 kg/m²,0.160317349358623
South-East Asia,Men,70-74,BMI < 18.5 kg/m²,0.190537250904351
South-East Asia,Men,75-79,BMI < 18.5 kg/m²,0.229819414494304
South-East Asia,Men,80-84,BMI < 18.5 kg/m²,0.276553189668578
South-East Asia,Men,85plus,BMI < 18.5 kg/m²,0.33920282596561
South-East Asia,Women,15-19,BMI < 18.5 kg/m²,0.370370492909265
South-East Asia,Women,20-24,BMI < 18.5 kg/m²,0.250652894770483
South-East Asia,Women,25-29,BMI < 18.5 kg/m²,0.167901023398948
South-East Asia,Women,30-34,BMI < 18.5 kg/m²,0.11989562886869
South-East Asia,Women,35-39,BMI < 18.5 kg/m²,0.0946675517388292
South-East Asia,Women,40-44,BMI < 18.5 kg/m²,0.0827884776923735
South-East Asia,Women,45-49,BMI < 18.5 kg/m²,0.0815945001176723
South-East Asia,Women,50-54,BMI < 18.5 kg/m²,0.087457341003121
South-East Asia,Women,55-59,BMI < 18.5 kg/m²,0.0998271179291179
South-East Asia,Women,60-64,BMI < 18.5 kg/m²,0.118578723775413
South-East Asia,Women,65-69,BMI < 18.5 kg/m²,0.142885136493333
South-East Asia,Women,70-74,BMI < 18.5 kg/m²,0.172720237203456
South-East Asia,Women,75-79,BMI < 18.5 kg/m²,0.209131783253118
South-East Asia,Women,80-84,BMI < 18.5 kg/m²,0.255919784611623
South-East Asia,Women,85plus,BMI < 18.5 kg/m²,0.33161623570688
Western Pacific,Men,15-19,BMI < 18.5 kg/m²,0.231642466569365
Western Pacific,Men,20-24,BMI < 18.5 kg/m²,0.111499447455789
Western Pacific,Men,25-29,BMI < 18.5 kg/m²,0.0648509681369746
